code,std_code,name,group
F70100026,KR5701000261,한투글로벌넥스트웨이브1(A),BC
F70100027,KR5701000279,한투글로벌넥스트웨이브1(A-e),BC
F70100028,KR5701000287,한투글로벌넥스트웨이브2(A),BC
F70100029,KR5701000295,한투글로벌넥스트웨이브2(A-e),BC
F70100030,KR5701000303,한투한미핵심성장포커스1(A),BC
F70100031,KR5701000311,한투한미핵심성장포커스1(A-e),BC
F70100032,KR5701000329,한투한미핵심성장포커스2(A),BC
F70100033,KR5701000337,한투한미핵심성장포커스2(A-e),BC
F70100034,KR5701000345,한투한미넥스트혁신성장1(A),BC
F70100035,KR5701000352,한투한미넥스트혁신성장1(A-e),BC
F70100036,KR5701000360,한투한미넥스트혁신성장2(A),BC
F70100037,KR5701000378,한투한미넥스트혁신성장2(A-e),BC
F70100038,KR5701000386,한투AI혁신산업1(A-e),BC
F70100039,KR5701000394,한투AI혁신산업2(A),BC
F70100040,KR5701000402,한투AI혁신산업2(A-e),BC
F70100041,KR5701000410,한투AI혁신산업1(A),BC
F70101B95,KR570101B954,밀라노부동산,BC
F70101B96,KR570101B962,벨기에코어오피스2호,BC
F70101B9A,KR570101B9A2,한국투자뉴욕오피스1호,BC
F70102B96,KR570102B960,룩셈부르크코어오피스(파생형)(A),BC
F70103B96,KR570103B968,룩셈부르크코어오피스(파생형)(C-I),BC
F70900001,KR5709000016,대신하이일드공모주알파증권2호 A,BC
F70900002,KR5709000024,대신하이일드공모주알파증권2호 A-e,BC
F71201B98,KR571201B985,키움히어로즈유럽오피스부동산1호 A,BC
F71202B98,KR571202B983,키움히어로즈유럽오피스부동산1호 C-I,BC
F71203B98,KR571203B981,키움히어로즈유럽오피스부동산2호 A,BC
F71204B98,KR571204B989,키움히어로즈유럽오피스부동산2호 C-I,BC
F71205B98,KR571205B986,키움히어로즈유럽오피스부동산3호 A,BC
F71206B98,KR571206B984,키움히어로즈유럽오피스부동산3호 C-I,BC
F71207B98,KR571207B982,키움히어로즈유럽오피스부동산4호 A,BC
F71208B98,KR571208B980,키움히어로즈유럽오피스부동산4호 C-I,BC
F73400008,KR5734000080,코레이트하이일드공모주만기형3호 A,BC
F73400009,KR5734000098,코레이트하이일드공모주만기형3호 A2,BC
F73400010,KR5734000106,코레이트하이일드공모주만기형3호 Ae,BC
F73400011,KR5734000114,코레이트하이일드공모주만기형4호 A,BC
F73400012,KR5734000122,코레이트하이일드공모주만기형4호 Ae,BC
F74201773,KR5742017738,하나대체나사부동산1호,BC
F74201BAA,KR574201BAA6,하나대체미국부동산1호 A,BC
F74202BAA,KR574202BAA4,하나대체미국부동산1호 C-I,BC
F74401777,KR5744017777,맵스미국11호,BC
F74401BAA,KR574401BAA2,맵스미국16호 종류A,BC
F74601669,KR5746016694,KCGI베트남증권투자신탁,BC
F74701776,KR5747017766,이지스코어부동산126호 A,BC
F74701B97,KR574701B973,이지스글로벌281호 Class A,BC
F74701B9A,KR574701B9A8,이지스299호A,BC
F74702776,KR5747027765,이지스코어부동산126호 C-i,BC
F75601BA2,KR575601BA20,유경공모부동산3호ClassA,BC
F75602BA2,KR575602BA29,유경공모부동산3호ClassC-I,BC
F75701BA7,KR575701BA78,현대유퍼스트부동산30호[파생형] A,BC
F75702BA7,KR575702BA77,현대유퍼스트부동산30호[파생형] C-i,BC
F76201BC5,KR576201BC53,이탈리아물류1호 종류A,BC
F77200017,KR5772000174,한국밸류라이프V파워1(A),BC
