code,name,group_code,market
100030,인지소프트,ST,Q
100090,SK오션플랜트,ST,K
100120,뷰웍스,ST,Q
100130,동국S&C,ST,Q
100220,비상교육,ST,K
100250,진양홀딩스,ST,K
100590,머큐리,ST,Q
100660,서암기계공업,ST,Q
100700,세운메디칼,ST,Q
100790,미래에셋벤처투자,ST,Q
100840,SNT에너지,ST,K
100910,KIWOOM KRX100,EF,K
101000,KS인더스트리,ST,Q
101140,인바이오젠,ST,K
101160,월덱스,ST,Q
101170,우림피티에스,ST,Q
101240,씨큐브,ST,Q
101280,KODEX 일본TOPIX100,EF,K
101330,모베이스,ST,Q
101360,에코앤드림,ST,Q
101390,아이엠,ST,Q
101400,엔시트론,ST,Q
101490,에스앤에스텍,ST,Q
101530,해태제과식품,ST,K
101670,하이드로리튬,ST,Q
101680,한국정밀기계,ST,Q
101730,위메이드맥스,ST,Q
101930,인화정공,ST,Q
101970,우양에이치씨,ST,Q
102110,TIGER 200,EF,K
102120,어보브반도체,ST,Q
102260,동성케미컬,ST,K
102370,케이옥션,ST,Q
102460,이연제약,ST,K
102710,이엔에프테크놀로지,ST,Q
102780,KODEX 삼성그룹,EF,K
102940,코오롱생명과학,ST,Q
102960,KODEX 기계장비,EF,K
102970,KODEX 증권,EF,K
103140,풍산,ST,K
103230,에스앤더블류,ST,Q
103590,일진전기,ST,K
103840,우양,ST,Q
104040,디에스엠,ST,Q
104200,NHN벅스,ST,Q
104460,디와이피엔에프,ST,Q
104480,티케이케미칼,ST,Q
104520,KIWOOM 블루칩,EF,K
104530,KIWOOM 코리아고배당,EF,K
104540,코렌텍,ST,Q
104620,노랑풍선,ST,Q
104700,한국철강,ST,K
104830,원익머트리얼즈,ST,Q
105010,TIGER 라틴35,EF,K
105190,ACE 200,EF,K
105330,케이엔더블유,ST,Q
105550,엣지파운드리,ST,Q
105560,KB금융,ST,K
105630,한세실업,ST,K
105740,디케이락,ST,Q
105760,포스뱅크,ST,Q
105780,RISE 5대그룹주,EF,K
105840,우진,ST,K
106080,케이이엠텍,ST,Q
106190,하이텍팜,ST,Q
106240,파인테크닉스,ST,Q
106520,노블엠앤비,ST,Q
107590,미원홀딩스,ST,K
107600,새빗켐,ST,Q
107640,한중엔시에스,ST,Q
108230,톱텍,ST,Q
108320,LX세미콘,ST,K
108380,대양전기공업,ST,Q
108450,ACE 삼성그룹섹터가중,EF,K
108490,로보티즈,ST,Q
108590,TREX 200,EF,K
108670,LX하우시스,ST,K
108675,LX하우시스우,ST,K
108860,셀바스AI,ST,Q
109070,주성코퍼레이션,ST,K
109080,옵티시스,ST,Q
109610,에스와이,ST,Q
109670,씨싸이트,ST,Q
109740,디에스케이,ST,Q
109820,진매트릭스,ST,Q
109860,동일금속,ST,Q
109960,앱토크롬,ST,Q
110020,전진바이오팜,ST,Q
110790,크리스에프앤씨,ST,Q
110990,디아이티,ST,Q
111110,호전실업,ST,K
111380,동인기연,ST,K
111710,남화산업,ST,Q
111770,영원무역,ST,K
112040,위메이드,ST,Q
112290,와이씨켐,ST,Q
112610,씨에스윈드,ST,K
113810,디젠스,ST,Q
114090,GKL,ST,K
114100,RISE 국고채3년,EF,K
114190,강원에너지,ST,Q
114260,KODEX 국고채3년,EF,K
114450,그린생명과학,ST,Q
114460,ACE 국고채3년,EF,K
114470,KIWOOM 국고채3년,EF,K
114630,폴라리스우노,ST,Q
114800,KODEX 인버스,EF,K
114810,한솔아이원스,ST,Q
114820,TIGER 국채3년,EF,K
114840,아이패밀리에스씨,ST,Q
115160,휴맥스,ST,Q
115180,큐리언트,ST,Q
115310,인포바인,ST,Q
115440,우리넷,ST,Q
115450,HLB테라퓨틱스,ST,Q
115480,씨유메디칼,ST,Q
115500,케이씨에스,ST,Q
115530,씨엔플러스,ST,Q
115570,스타플렉스,ST,Q
115610,이미지스,ST,Q
117460,KODEX 에너지화학,EF,K
117580,대성에너지,ST,K
117670,알파칩스,ST,Q
117680,KODEX 철강,EF,K
117690,TIGER 차이나항셍30,EF,K
117700,KODEX 건설,EF,K
117730,티로보틱스,ST,Q
118000,메타케어,ST,K
118990,모트렉스,ST,Q
119500,포메탈,ST,Q
119610,인터로조,ST,Q
119650,KC코트렐,ST,K
119830,아이텍,ST,Q
119850,지엔씨에너지,ST,Q
120030,조선선재,ST,K
120110,코오롱인더,ST,K
120115,코오롱인더우,ST,K
120240,대정화금,ST,Q
121440,골프존홀딩스,ST,Q
121600,나노신소재,ST,Q
121800,비덴트,ST,Q
121850,코이즈,ST,Q
121890,에스디시스템,ST,Q
122090,PLUS 코스피50,EF,K
122260,KIWOOM 통안채1년,EF,K
122310,제노레이,ST,Q
122350,삼기,ST,Q
122450,KX,ST,Q
122630,KODEX 레버리지,EF,K
122640,예스티,ST,Q
122690,서진오토모티브,ST,Q
122870,와이지엔터테인먼트,ST,Q
122900,아이마켓코리아,ST,K
122990,와이솔,ST,Q
123010,알엔티엑스,ST,Q
123040,엠에스오토텍,ST,Q
123310,TIGER 인버스,EF,K
123320,TIGER 레버리지,EF,K
123330,제닉,ST,Q
123410,코리아에프티,ST,Q
123420,위메이드플레이,ST,Q
123570,이엠넷,ST,Q
123690,한국화장품,ST,K
123700,SJM,ST,K
123750,알톤,ST,Q
123840,뉴온,ST,Q
123860,아나패스,ST,Q
123890,한국자산신탁,ST,K
124500,아이티센글로벌,ST,Q
124560,태웅로직스,ST,Q
125020,티씨머티리얼즈,ST,Q
125210,아모그린텍,ST,Q
125490,한라캐스트,ST,Q
126340,비나텍,ST,Q
126560,현대퓨처넷,ST,K
126600,BGF에코머티리얼즈,ST,Q
126640,화신정공,ST,Q
126700,하이비젼시스템,ST,Q
126720,수산인더스트리,ST,K
126730,코칩,ST,Q
126880,제이엔케이글로벌,ST,Q
127120,제이에스링크,ST,Q
127710,아시아경제,ST,Q
127980,화인써키트,ST,Q
128540,에코캡,ST,Q
128660,피제이메탈,ST,Q
128820,대성산업,ST,K
128940,한미약품,ST,K
129260,인터지스,ST,K
129890,앱코,ST,Q
129920,대성하이텍,ST,Q
130500,GH신소재,ST,Q
130580,나이스디앤비,ST,Q
130660,한전산업,ST,K
130680,TIGER 원유선물Enhanced(H),EF,K
130730,KIWOOM 단기자금,EF,K
130740,티피씨글로벌,ST,Q
131030,옵투스제약,ST,Q
131090,시큐브,ST,Q
131100,티엔엔터테인먼트,ST,Q
131180,딜리,ST,Q
131220,대한과학,ST,Q
131290,티에스이,ST,Q
131370,알서포트,ST,Q
131400,이브이첨단소재,ST,Q
131760,파인텍,ST,Q
131890,ACE 삼성그룹동일가중,EF,K
131970,두산테스나,ST,Q
132030,KODEX 골드선물(H),EF,K
133690,TIGER 미국나스닥100,EF,K
133750,메가엠디,ST,Q
133820,화인베스틸,ST,K
134060,이퓨쳐,ST,Q
134380,미원화학,ST,K
134580,탑코미디어,ST,Q
134790,시디즈,ST,K
136150,원일티엔아이,ST,Q
136340,RISE 중기우량회사채,EF,K
136410,아셈스,ST,Q
136480,하림,ST,Q
136490,선진,ST,K
136540,윈스테크넷,ST,Q
137080,나래나노텍,ST,Q
137310,에스디바이오센서,ST,K
137400,피엔티,ST,Q
137610,TIGER 농산물선물Enhanced(H),EF,K
137940,넥스트아이,ST,Q
137950,제이씨케미칼,ST,Q
138040,메리츠금융지주,ST,K
138070,신진에스엠,ST,Q
138080,오이솔루션,ST,Q
138230,KIWOOM 미국달러선물,EF,K
138360,앤로보틱스,ST,Q
138520,TIGER 삼성그룹,EF,K
138530,TIGER LG그룹플러스,EF,K
138540,TIGER 현대차그룹플러스,EF,K
138610,나이벡,ST,Q
138910,KODEX 구리선물(H),EF,K
138920,KODEX 콩선물(H),EF,K
138930,BNK금융지주,ST,K
139130,iM금융지주,ST,K
139220,TIGER 200 건설,EF,K
139230,TIGER 200 중공업,EF,K
139240,TIGER 200 철강소재,EF,K
139250,TIGER 200 에너지화학,EF,K
139260,TIGER 200 IT,EF,K
139270,TIGER 200 금융,EF,K
139280,TIGER 경기방어,EF,K
139290,TIGER 200 경기소비재,EF,K
139320,TIGER 금은선물(H),EF,K
139480,이마트,ST,K
139660,KIWOOM 미국달러선물인버스,EF,K
139670,키네마스터,ST,Q
139990,아주스틸,ST,K
140070,서플러스글로벌,ST,Q
140410,메지온,ST,Q
140430,카티스,ST,Q
140520,대창스틸,ST,Q
140570,RISE 수출주,EF,K
140580,RISE 우량업종대표주,EF,K
140670,알에스오토메이션,ST,Q
140700,KODEX 보험,EF,K
140710,KODEX 운송,EF,K
140860,파크시스템스,ST,Q
140950,파워 코스피100,EF,K
141000,비아트론,ST,Q
141080,리가켐바이오,ST,Q
142210,유니트론텍,ST,Q
142280,녹십자엠에스,ST,Q
142760,모아라이프플러스,ST,Q
143160,아이디스,ST,Q
143210,핸즈코퍼레이션,ST,K
143240,사람인,ST,Q
143540,영우디에스피,ST,Q
143850,TIGER 미국S&P500선물(H),EF,K
143860,TIGER 헬스케어,EF,K
144510,지씨셀,ST,Q
144600,KODEX 은선물(H),EF,K
144960,뉴파워프라즈마,ST,Q
145020,휴젤,ST,Q
145170,노브랜드,ST,Q
145210,다이나믹디자인,ST,K
145270,케이탑리츠,RT,K
145670,ACE 인버스,EF,K
145720,덴티움,ST,K
145850,TREX 펀더멘탈 200,EF,K
145990,삼양사,ST,K
145995,삼양사우,ST,K
146060,율촌,ST,Q
146320,비씨엔씨,ST,Q
147760,피엠티,ST,Q
147830,제룡산업,ST,Q
147970,TIGER 모멘텀,EF,K
148020,RISE 200,EF,K
148070,KIWOOM 국고채10년,EF,K
148150,세경하이테크,ST,Q
148250,알엔투테크놀로지,ST,Q
148780,비큐AI,ST,Q
148930,에이치와이티씨,ST,Q
149950,아바텍,ST,Q
149980,하이로닉,ST,Q
150460,TIGER 중국소비테마,EF,K
150900,파수AI,ST,Q
151860,KG에코솔루션,ST,Q
152100,PLUS 200,EF,K
152380,KODEX 국채선물10년,EF,K
152500,ACE 레버리지,EF,K
152870,파워 200,EF,K
153130,KODEX 단기채권,EF,K
153270,KIWOOM 코스피100,EF,K
153460,네이블,ST,Q
153490,우리이앤엘하루틴,ST,Q
153710,옵티팜,ST,Q
